,MAC_P8_A_S1_20210718,MAC_P8_A_S2_20210718,MAC_P8_A_S3_20210718,MAC_P8_N_S1_20210718,MAC_P8_N_S2_20210718,MAC_P8_N_S3_20210718,MAC_P8_C_S1_20210718,MAC_P8_C_S2_20210718,MAC_P8_C_S3_20210718,MAC_P11_A_S1_20210718,MAC_P11_A_S2_20210718,MAC_P11_A_S3_20210718,MAC_P11_N_S1_20210718,MAC_P11_N_S2_20210718,MAC_P11_N_S3_20210718,MAC_P11_C_S1_20210718,MAC_P11_C_S2_20210718,MAC_P11_C_S3_20210718,MAC_P4_A_S1_20210909,MAC_P4_A_S2_20210909,MAC_P4_A_S3_20210909,MAC_P6_N_S1_20210909,MAC_P6_N_S2_20210909,MAC_P6_N_S3_20210909,MAC_P7_C_S1_20210909,MAC_P7_C_S2_20210909,MAC_P7_C_S3_20210909,MAC_P8_A_S1_20210909,MAC_P8_A_S2_20210909,MAC_P8_A_S3_20210909,MAC_P10_C_S1_20210909,MAC_P10_C_S2_20210909,MAC_P10_C_S3_20210909,MAC_P11_N_S1_20210909,MAC_P11_N_S2_20210909,MAC_P11_N_S3_20210909
2Oxoisocaproate,4,5,4,16,3,5,9,6,5,2,3,NA,2,3,3,2,6,3,3,6,2,5,2,3,2,1,3,6,1,1,4,2,2,1,1,3
3Hydroxybutyrate,168,66,92,196,90,182,109,113,96,80,74,NA,81,113,79,76,75,88,39,55,56,59,45,72,52,35,58,100,40,38,120,83,37,41,52,55
3Hydroxyisovalerate,NA,NA,5,NA,4,3,2,7,3,2,2,2,3,3,2,3,3,5,2,2,2,2,2,3,2,3,3,2,NA,NA,3,3,3,3,3,NA
4Hydroxybutyrate,26,15,23,46,14,27,30,14,14,15,21,NA,23,26,18,39,19,21,16,19,16,22,22,25,13,19,36,16,12,16,17,21,16,17,16,20
4Hydroxyphenylacetate,5,4,5,20,3,11,12,4,4,3,3,NA,11,NA,3,4,3,2,6,3,NA,4,4,5,3,5,5,3,2,2,23,9,3,4,3,3
Acetate,189,55,85,361,74,274,209,407,208,85,61,NA,109,39,127,76,101,157,23,15,82,39,21,74,142,68,46,54,40,19,193,96,29,50,38,58
Acetone,2,2,2,2,1,1,2,10,2,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,1,1,2,1,NA,1,NA,NA,NA,2,2,2,NA,1,1
Adenosine,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,1
Alanine,24,13,19,61,14,43,41,13,20,8,10,NA,15,14,12,20,20,8,18,12,9,18,35,35,13,26,41,23,7,6,39,79,15,16,34,17
Aspartate,43,15,33,94,21,92,77,16,28,8,11,NA,13,11,16,10,20,15,10,14,10,24,20,37,11,20,25,26,11,3,80,45,16,16,15,13
Betaine,9,8,7,10,6,10,6,8,8,5,7,6,6,9,4,7,6,7,6,6,6,8,7,8,5,5,7,9,5,4,12,11,4,4,5,5
Choline,3,3,3,2,1,2,2,2,2,3,3,3,3,4,2,1,2,3,NA,3,2,2,3,3,3,3,3,2,2,2,5,3,2,3,3,3
Cytidine,NA,NA,NA,3,3,3,NA,1,NA,2,NA,2,2,3,2,3,2,NA,3,3,1,3,5,4,2,6,6,3,1,NA,2,3,3,3,NA,2
NADP,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,1,NA,3,NA,NA,NA,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,3
Formate,233,52,75,330,86,111,269,77,95,111,51,NA,90,346,92,61,110,100,35,257,62,181,64,108,39,55,224,160,44,60,115,119,225,58,105,212
Fructose,469,NA,NA,362,NA,153,76,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,25,NA,NA,NA,8,NA,NA,5,1257,509,NA,NA,216,16
Fumarate,4,NA,NA,4,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,3,NA,NA,1,NA
Glucose,606,NA,NA,499,19,348,231,38,59,14,23,NA,NA,19,11,49,9,11,18,19,23,20,78,71,22,NA,40,48,19,18,1864,530,21,19,158,16
Glutamate,203,56,111,148,78,183,114,65,74,41,46,NA,63,69,75,62,69,53,69,60,63,86,117,115,69,86,107,82,53,23,209,262,74,68,100,58
Glycine,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,8,NA,5,8,NA,11,5,NA,NA,2,35,NA,6,6,NA,NA
Isoleucine,17,23,19,NA,8,25,19,11,13,NA,NA,NA,9,24,9,11,14,NA,13,NA,10,16,15,15,8,16,22,11,5,5,12,15,12,11,11,13
Lactate,24,5,7,93,5,77,12,4,4,3,5,NA,NA,6,4,6,4,12,5,3,4,8,5,8,3,14,5,4,5,5,44,8,3,4,6,3
Leucine,16,11,18,38,NA,14,25,17,22,NA,NA,NA,14,16,NA,10,18,NA,17,18,12,14,24,19,11,22,32,16,8,8,22,24,22,15,15,18
Malate,65,NA,NA,42,NA,49,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA
Malonate,6,7,6,16,5,7,6,6,6,4,5,4,4,5,5,3,4,6,5,4,5,5,NA,5,5,5,4,5,3,4,11,8,5,3,3,5
Maltose,23,14,14,NA,NA,24,NA,NA,NA,6,9,9,11,14,9,NA,18,5,NA,14,13,9,NA,13,7,25,23,24,8,8,59,NA,9,11,NA,8
Methanol,93,73,94,96,89,101,114,120,96,98,59,59,84,91,93,120,99,93,92,93,103,81,84,83,240,265,331,246,23,23,280,225,317,248,251,266
myoInositol,46,NA,12,111,NA,96,79,16,18,NA,2,6,NA,7,9,7,6,10,9,9,9,NA,NA,9,NA,NA,9,NA,4,6,6,29,11,12,12,5
Nicotinate,3,1,2,5,2,NA,3,2,2,1,2,NA,NA,1,1,2,2,2,1,2,2,2,1,2,1,1,1,2,1,NA,3,2,1,1,1,1
Oxypurinol,NA,NA,3,41,3,10,4,2,3,3,4,3,5,2,3,3,17,17,16,24,2,24,21,2,15,NA,NA,2,5,10,37,NA,24,NA,3,18
Phenylacetate,NA,7,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phenylalanine,8,NA,5,NA,4,NA,7,NA,NA,NA,4,NA,4,5,5,6,5,NA,7,7,4,6,8,8,3,7,8,6,2,4,9,7,7,6,6,5
Pyruvate,4,NA,2,37,NA,4,23,NA,6,2,NA,NA,NA,NA,2,1,1,NA,1,NA,1,NA,3,2,2,2,2,12,2,1,19,5,2,3,3,2
Succinate,17,1,4,28,4,28,11,3,4,2,2,NA,3,3,4,3,2,4,2,2,3,2,4,8,2,2,2,2,2,2,11,4,2,2,5,2
Sucrose,13,NA,12,36,12,33,156,34,63,7,16,16,7,NA,13,NA,NA,11,10,11,19,NA,47,53,19,10,7,19,14,31,210,59,NA,12,NA,15
Thymidine,2,2,2,5,3,3,NA,NA,2,2,2,2,2,2,3,5,3,1,2,2,3,3,4,4,3,4,5,3,2,2,2,4,3,3,4,2
Thymine,3,2,3,4,2,3,3,3,2,2,2,2,2,2,1,2,2,2,3,2,2,3,2,2,2,1,2,2,2,1,4,2,2,3,2,2
transAconitate,203,2,13,99,10,105,88,10,14,NA,3,NA,NA,5,10,NA,NA,28,1,1,7,NA,3,7,4,NA,1,7,4,NA,36,32,NA,7,10,NA
Trehalose,277,227,209,327,235,251,193,234,189,146,174,163,183,186,197,197,151,190,201,142,168,208,242,235,210,199,159,214,201,184,411,226,160,214,197,144
Tryptophan,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uridine,2,NA,NA,3,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
Valine,44,4,11,NA,17,12,32,22,27,NA,NA,NA,15,NA,18,19,NA,10,19,21,15,24,25,27,13,25,33,25,12,9,31,37,24,21,22,21
bAlanine,8,NA,NA,6,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,2,NA,2,2,2,2,NA,NA,4,5,1,2,2,NA