"","OTU","VB0889_004","VB0889_006","VB0889_015","VB0889_016","VB0889_017","VB0889_018","VB0889_025","VB0889_028","VB0889_030","VB0889_038","VB0889_042","VB0889_049","VB0889_050","VB0889_051","VB0889_052","VB0889_073","VB0889_074","VB0889_075","VB0889_076","VB0889_077","VB0889_078","VB0889_085","VB0889_086","VB0889_090"
"90","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomeraceae_gen_Incertae_sedis_Glomeraceae_sp_44d350b5b3a140a693b38c2784eee484",0,54,0,76,0,67,92,0,43,0,0,0,0,102,29,0,79,73,51,25,12,0,15,0
"91","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_ebd22203707577101721bca6e9038c1f",6,0,8,5,17,12,0,5,7,5,12,23,6,6,0,6,14,6,6,10,0,13,19,0
"92","Fungi_Ascomycota_Sordariomycetes_Sordariales_Podosporaceae_Cladorrhinum_Cladorrhinum_hyalocarpum_9068c3f1f2c67d9b5532230e9d8eee77",0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,440,0,0,0,0,0,4,0,0
"93","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_unclassified_unclassified_838358b35f92a101a834fdeffa576e92",122,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,0,0,0,0,0,0,0,56,0
"94","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_5951a7f81b2f0eacaa9f1a66a2ebc6d0",0,0,0,0,11,26,2,125,4,8,7,26,41,0,24,0,0,28,23,0,0,22,0,0
"95","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_piperis_c829fbe61c3edf1e62c627b8b0b26c4a",20,22,0,61,27,0,0,27,0,0,0,38,0,5,0,23,0,23,0,16,39,0,0,38
"96","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_2eb319753ed2db89c070456d74efc7c9",0,22,0,0,14,0,0,0,0,0,0,0,0,0,35,0,0,20,0,0,0,0,0,0
"97","Fungi_Ascomycota_Dothideomycetes_Capnodiales_Cladosporiaceae_Cladosporium_Cladosporium_sp_2618724a43b62712d10467d2dd1e7c3e",1,17,0,7,0,0,0,0,14,0,0,5,3,0,0,0,0,0,0,21,96,18,11,23
"98","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_6572f85164ecd388f71d5185981a3236",46,0,38,0,0,0,0,0,0,83,0,0,0,0,146,0,0,0,0,0,0,0,0,0
"99","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Bipolaris_unclassified_a20e2909d945774135d2e9eb3c939d20",5,0,0,0,9,8,0,0,0,0,0,32,6,0,9,22,0,0,8,0,0,0,0,0
"100","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Funneliformis_Funneliformis_mosseae_7d024113792c47324c769ae1b3d0f091",0,0,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_0fd336f3455c975119dd6695005fa71d",0,0,0,0,0,0,0,0,11,36,0,18,352,0,0,10,0,57,0,0,0,5,0,0
"102","Fungi_Ascomycota_Sordariomycetes_Xylariales_Diatrypaceae_Monosporascus_Monosporascus_sp_cae8212e0d1ea24c2cbe552c8803f87a",0,13,0,0,0,0,0,12,0,0,30,83,0,123,0,0,84,42,0,90,303,1,0,6
"103","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_Schizothecium_inaequale_e06f821ebdfac7c580a0929d826cd432",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,22,0,49,0,0,0,29,0,27
"104","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Alternaria_Alternaria_hungarica_3b4c384c991a28e6d77e151b58e40591",11,12,3,5,0,0,12,10,0,90,0,3,8,0,0,0,3,20,0,0,11,0,0,2
"105","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Stachybotryaceae_Alfaria_unclassified_6b9af80fabd3e144f4a5d78341bfd7cb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,0,2,0,0
"106","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomeraceae_gen_Incertae_sedis_Glomeraceae_sp_ecdef9c20a596f8924124d0883a2dbd3",0,0,0,0,0,0,0,0,62,0,0,0,0,0,80,0,0,0,0,0,0,0,0,42
"107","Fungi_Basidiomycota_Agaricomycetes_Cantharellales_Ceratobasidiaceae_unclassified_unclassified_69ba6dd13a513011eeaab2dfa0e150fa",0,11,0,0,0,0,0,78,0,3,0,0,0,0,0,64,63,0,0,0,6,0,0,397
"108","Fungi_Ascomycota_Eurotiomycetes_Onygenales_Arachnomycetaceae_Arachnomyces_Arachnomyces_pilosus_8d487f5eb1a6285f847ac9e1a8539f5d",0,0,0,0,0,0,0,24,0,18,0,0,0,0,9,0,6,0,28,0,24,0,0,0
"109","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Botryotrichum_Botryotrichum_atrogriseum_3755060e188aeab34219fbb11bdac4e0",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_5e14a5ea38097fab98a93b366b2eac37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0
"111","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_c4d4785dead27fc2f245ccf4248a04ee",0,103,0,0,5,0,0,0,0,0,0,62,0,0,0,0,73,0,0,0,123,0,0,0
"112","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_ambigua_6ad7d1571580fa85052b62c9af2d8844",117,0,0,81,8,0,0,0,12,10,0,0,0,0,0,83,0,28,0,39,0,4,15,0
"113","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascodesmidaceae_Cephaliophora_Cephaliophora_sp_3902fa8da746b3cfbe383b00521d338c",54,0,5,7,9,9,3,0,23,0,6,43,0,5,0,4,10,0,15,3,6,1,80,10
"114","Fungi_Ascomycota_Eurotiomycetes_Eurotiales_Aspergillaceae_Aspergillus_Aspergillus_flavus_2f9297cdaa96a84c203bafc26ad7ef58",145,0,5,9,0,0,0,0,0,0,0,46,22,0,0,26,0,41,0,15,0,0,0,0
"115","Fungi_Basidiomycota_Tremellomycetes_Filobasidiales_Filobasidiaceae_Naganishia_Naganishia_albida_7b34a0d4f90d284ef86532785de39a5c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,78,0,0,0
"116","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Canariomyces_Canariomyces_arenarius_46f9869099d8964a5f9af5184b8b1b22",44,0,0,16,23,0,0,0,0,17,0,0,0,27,16,41,0,58,0,8,14,0,0,0
"117","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_terricola_946ecfae9b914145c37abf350d5e51f0",0,0,7,0,0,0,0,0,0,0,0,25,0,120,0,0,0,0,0,0,0,0,0,0
"118","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_bb27b76d8adc795671568329ee0545bd",0,0,6,0,0,16,15,35,4,0,7,67,0,109,0,0,0,0,0,0,33,32,0,0
"119","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Nectriaceae_Paracremonium_Paracremonium_inflatum_0c5468ffccf03006f0e0ed81a7604f56",0,0,0,0,12,0,17,2,11,31,0,0,13,0,0,0,0,6,26,17,0,0,0,0
"120","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_globosa_814c4e99bc4e7a376311891f112f5eeb",0,4,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,4,9,5,0,0,20,0
"121","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_1f533a953cf14039236f3fa826b1e083",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0
"122","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_wolfii_31f95534b4b66a435bb511db12e2caca",6,15,0,0,1,4,9,0,16,10,0,0,0,6,1,0,0,13,1,0,0,8,0,2
"123","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Acremonium_Acremonium_persicinum_cf7eebbf15ad2583e6df48d41e76cde7",0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,38,0,0,0,16,85,0,0,25
"124","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_unclassified_unclassified_5f81f20047c3fb5f68cf40c997c3f907",0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"125","Fungi_Rozellomycota_Rozellomycota_cls_Incertae_sedis_Rozellomycota_ord_Incertae_sedis_Rozellomycota_fam_Incertae_sedis_Rozellomycota_gen_Incertae_sedis_Rozellomycota_sp_56e7afe934c9fede8971f14af3acd92b",0,18,0,4,0,0,8,0,0,0,9,6,0,2,0,0,0,0,2,25,0,25,32,2
"126","Fungi_Basidiomycota_Agaricomycetes_Agaricales_Pluteaceae_Volvariella_unclassified_961f316417631312b4a3b483d1101414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1291,0,0,0
"127","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Rhizophagus_unclassified_68adf083cd595a75c31803dfb7bd8876",65,0,27,0,0,0,0,84,45,0,0,0,0,114,0,38,0,0,0,45,15,0,0,0
"128","Fungi_Ascomycota_Sordariomycetes_Microascales_Microascaceae_Microascus_Microascus_alveolaris_4e6cdf7d884d86fba1833ae3aecda2f1",0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascobolaceae_Ascobolus_Ascobolus_sp_c61655c3897573ba20793038b7cf8cb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
"130","Fungi_Ascomycota_Sordariomycetes_Lulworthiales_Lulworthiaceae_Lulworthiaceae_gen_Incertae_sedis_Lulworthiaceae_sp_71f3d2c3942a985b375cb65b81dcb1ef",0,0,0,32,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"131","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_unclassified_unclassified_8c0c9393ac87ed2af73d02bebeb11fbe",3,10,0,0,4,0,6,0,0,0,0,13,0,18,4,9,14,10,15,7,0,0,0,0
"132","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_861fa7868a75fdc2269d2fa7bbc85573",24,0,0,0,0,12,13,0,0,10,0,38,0,0,4,11,0,0,0,0,10,25,0,0
"133","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Septoglomus_Septoglomus_sp_8d03350ffb360c00cfa4fc80138b1752",99,0,0,0,87,0,0,0,0,21,0,0,0,63,0,25,0,0,0,7,0,0,23,28
"134","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_0b7ee1958f68c82b823cbf513d06c502",43,0,1,4,66,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0
"135","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Alternaria_unclassified_0295097a99ff182f719b221bb51cc414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"136","Fungi_Calcarisporiellomycota_Calcarisporiellomycetes_Calcarisporiellales_Calcarisporiellaceae_Calcarisporiella_Calcarisporiella_thermophila_b5355017e786eb2e91e95f18d6ebd6de",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,12,0,0
"137","Fungi_Ascomycota_Dothideomycetes_Capnodiales_Cladosporiaceae_Cladosporium_Cladosporium_halotolerans_ba4a9f9487e4860b0413cf8504c0870b",0,8,0,0,0,0,0,0,15,0,0,0,0,0,0,12,0,0,0,23,71,0,20,37
"138","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Funneliformis_Funneliformis_mosseae_a130bc6d32c696565fc97a677796b826",0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
"139","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_unclassified_a2f62aca6844e4e4f46f003922d56861",0,0,0,0,0,0,57,29,0,0,23,0,0,0,0,0,0,0,0,0,0,22,0,0
"140","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_70f6aa041db96ab07bdbf6b2d72b1c23",10,5,7,0,4,0,0,63,3,32,0,0,3,0,13,27,0,0,0,2,28,17,0,2
"141","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_700376ff87730ae092cf4c412c4334f6",4,0,0,3,0,0,2,0,0,0,0,3,8,9,0,4,0,5,1,0,0,0,0,0
"142","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Allocanariomyces_Allocanariomyces_tritici_7df7a2d07948809df984e43a2448502e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
"143","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_unclassified_9d6588585d7fe2817627700167c8ffd9",0,12,8,0,16,17,26,4,7,4,7,29,0,53,0,0,8,12,6,15,0,0,0,0
"144","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_globosa_72f058f625faae95cc8440e32b3165d1",0,0,0,0,0,0,10,0,0,0,0,0,0,0,666,0,0,0,0,0,0,0,0,0
"145","Fungi_Ascomycota_Sordariomycetes_Sordariales_Sordariales_fam_Incertae_sedis_Madurella_Madurella_tropicana_b3cbdb329c8f009ef0822673e2bed34b",0,0,0,0,0,0,39,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
"146","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_sp_c76f4f0e3be2fc6c1fbf58ea5e5714fb",0,0,0,0,0,0,0,0,0,29,0,59,0,0,0,0,0,39,0,14,0,0,0,0
"147","Fungi_Ascomycota_Eurotiomycetes_Onygenales_Onygenaceae_Chrysosporium_Chrysosporium_lobatum_553558734f994eb6dda2f501d3342b69",12,0,15,0,0,0,0,6,3,0,0,0,0,14,8,3,0,10,0,3,6,7,0,0
"148","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_6281fdba30f590a7e38bb54881499b04",0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,9,0,0,0,0
"149","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Schizothecium_Schizothecium_inaequale_e25826df214510cfb865e1689050b95a",0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
"150","Fungi_Ascomycota_Pezizomycetes_Pezizales_Pyronemataceae_Scutellinia_Scutellinia_scutellata_e107ee39a291088c9d5404e0a86209f6",16,5,0,0,13,6,0,2,1,0,0,0,0,26,0,3,2,8,0,21,4,22,0,0
"151","Fungi_Ascomycota_Orbiliomycetes_Orbiliales_Orbiliaceae_Arthrobotrys_Arthrobotrys_sp_cb757376651d5057137d047c17858958",0,0,0,0,38,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"152","Fungi_Ascomycota_Pezizomycetes_Pezizales_Ascodesmidaceae_Cephaliophora_Cephaliophora_sp_944765eb377c2bf09d3ec1795e12a7ad",4,14,0,0,0,0,0,1,7,21,0,0,0,2,0,0,0,9,3,0,0,0,0,12
"153","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierella_Mortierella_alpina_d2cb4e14fa0bff1d217f1e51730659bc",8,3,0,0,0,0,0,0,0,5,0,8,6,0,0,0,0,8,5,0,0,0,0,0
"154","Fungi_Calcarisporiellomycota_Calcarisporiellomycetes_Calcarisporiellales_Calcarisporiellaceae_Calcarisporiella_Calcarisporiella_thermophila_61790a31367fa2446ac360aa742621a4",0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"155","Fungi_Ascomycota_Sordariomycetes_Sordariales_Chaetomiaceae_Ovatospora_Ovatospora_mollicella_2aaffbcd30e6bc96e65ab9d784ebad92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
"156","Fungi_Mortierellomycota_Mortierellomycetes_Mortierellales_Mortierellaceae_Mortierellaceae_gen_Incertae_sedis_Mortierellaceae_sp_a71ed576b7d412bd081503356e82b07a",0,0,0,27,21,0,19,0,20,11,19,0,0,0,0,0,5,30,6,0,44,0,0,9
"157","Fungi_Glomeromycota_Paraglomeromycetes_Paraglomerales_Pervetustaceae_Pervetustaceae_gen_Incertae_sedis_Pervetustaceae_sp_8c241628c5ba7d54515dc11e64e75db2",0,0,0,10,0,0,9,1,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0
"158","Fungi_Ascomycota_Sordariomycetes_Xylariales_Diatrypaceae_Monosporascus_Monosporascus_sp_3c1879e4bf539ee49caa0e9d65a1ea4f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"159","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_8a958467716cee4ae82fa639ac09b5f6",31,0,0,0,72,0,0,0,0,46,0,0,0,0,100,0,0,12,0,0,0,0,0,0
"160","Fungi_Ascomycota_Sordariomycetes_Sordariales_unclassified_unclassified_unclassified_4e67552b4464f9913d54295f5e2ba343",0,0,0,175,0,0,0,0,0,0,0,0,10,63,0,0,0,0,0,0,0,0,0,0
"161","Fungi_Basidiomycota_Agaricomycetes_Corticiales_Corticiaceae_Waitea_Waitea_circinata_31f9ce69cee0de27e507b5dd09e12cca",26,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Glomeraceae_gen_Incertae_sedis_Glomeraceae_sp_743672988add2946e4b0de5991eccd4a",0,22,0,13,0,0,30,0,37,0,0,0,0,22,0,0,13,35,0,0,0,0,0,0
"163","Fungi_Basidiomycota_Agaricomycetes_Agaricales_Entolomataceae_Entoloma_Entoloma_incarnatofuscescens_4b3ffeaace8ae463013076f2dac65b6f",3,5,0,0,23,0,1,0,0,0,0,3,0,15,4,6,9,8,2,0,4,0,0,1
"164","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_84bb202a6e73c1350e937c744388e33f",59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,3,0,91,0,0,0
"165","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_0a5cf29b58d3b0e8732ecb5baebd055f",0,14,0,5,7,1,18,0,0,0,0,4,0,0,0,3,0,0,0,79,73,0,18,4
"166","Fungi_Basidiomycota_Tremellomycetes_Filobasidiales_Filobasidiaceae_Filobasidium_Filobasidium_magnum_de7783a444ca551e84b76f1b74e2db75",0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,17
"167","Fungi_Ascomycota_Sordariomycetes_Sordariales_Naviculisporaceae_Pseudorhypophila_Pseudorhypophila_marina_93c3ead94194e73a6dbc5b5c353ec618",0,0,0,0,55,0,7,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,6
"168","Fungi_Ascomycota_Sordariomycetes_Branch06_Branch06_fam_Incertae_sedis_Branch06_gen_Incertae_sedis_Branch06_sp_5fcab37a2989ff02829e8ebd8f03cfdf",0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"169","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Sporormiaceae_Preussia_Preussia_sp_cc9d91dce30338e5c516f778527927fb",0,0,10,10,0,0,0,5,0,9,0,10,6,0,0,18,0,0,0,0,0,0,0,12
"170","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_unclassified_unclassified_bd02709e3ca000581cc08afc9df9cf0b",0,0,25,0,0,0,0,0,0,0,20,0,10,0,19,0,0,32,20,0,0,0,0,0
"171","Fungi_Ascomycota_Sordariomycetes_Sordariales_Lasiosphaeriaceae_Zygopleurage_Zygopleurage_sp_af5e14d5f8ac93f4ef24d51d1aced722",0,0,0,0,0,0,5,0,0,25,0,2,0,0,1,0,0,7,0,0,0,6,0,0
"172","Fungi_Basidiomycota_Microbotryomycetes_Sporidiobolales_Sporidiobolaceae_Rhodotorula_Rhodotorula_graminis_12d80260887332b400b7dc370f7128ca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,11
"173","Fungi_Ascomycota_Sordariomycetes_Lulworthiales_Lulworthiaceae_Lulworthiaceae_gen_Incertae_sedis_Lulworthiaceae_sp_f27adfed16d343aabef0234216acf882",0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","Fungi_Rozellomycota_Rozellomycota_cls_Incertae_sedis_Rozellomycota_ord_Incertae_sedis_Rozellomycota_fam_Incertae_sedis_Rozellomycota_gen_Incertae_sedis_Rozellomycota_sp_db79e4121b1894acb51635bc0551789d",3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0
"175","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_e24658d17c242d0c7405a701f81f0ac2",0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0
"176","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_9b4fa1d8c77eb3ad2a5751f66c25d6a3",37,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"177","Fungi_Ascomycota_Sordariomycetes_Sordariales_unclassified_unclassified_unclassified_d18c2ec9ac6ccf6928c8076f2054c9f8",0,0,0,111,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_55b13d2d0d0b466b03bf25e83f5c8b9b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,49,0,0,0,0
"179","Fungi_Ascomycota_Sordariomycetes_unclassified_unclassified_unclassified_unclassified_0ea1f2793f8ef4fe979402d072c2e172",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"180","Fungi_Ascomycota_Sordariomycetes_Coniochaetales_Coniochaetaceae_Coniochaeta_Coniochaeta_sp_844e9db295b8717aa6c0d4bacf7827f8",7,0,2,3,14,0,0,0,1,11,4,5,5,10,0,15,4,4,0,4,0,0,0,0
"181","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreaceae_Kiflimonium_Kiflimonium_curvulum_2ca8384c5e12735833182446c76ab367",0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,11
"182","Fungi_Ascomycota_Dothideomycetes_Pleosporales_Pleosporaceae_Curvularia_Curvularia_fallax_86b9877b9fed75133bf20249f42a981c",0,0,0,0,0,11,40,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4
"183","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Rhizophagus_Rhizophagus_sp_2d7ce04711aa3846fddfcd63662a9297",0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"184","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_e96a8b1e9df428fc5cb2f735b13850a8",8,0,0,1,8,0,0,0,0,0,0,7,0,8,0,4,0,2,4,1,0,0,1,0
"185","Fungi_unclassified_unclassified_unclassified_unclassified_unclassified_unclassified_e9566711bc76fa337041478485c98e1c",0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,25,0,0,0,0,0,0,0,17
"186","Fungi_Glomeromycota_Glomeromycetes_Glomerales_Glomeraceae_Funneliformis_Funneliformis_mosseae_442782ac585085e032cddad2fe531a8e",0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,8,0
"187","Fungi_Basidiomycota_Agaricomycetes_Corticiales_Corticiaceae_Waitea_Waitea_circinata_943cddda6adc08cb7ae8962137a6ae1b",0,0,6,0,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,0
"188","Fungi_Ascomycota_Sordariomycetes_Hypocreales_Hypocreales_fam_Incertae_sedis_Hypocreales_gen_Incertae_sedis_Hypocreales_sp_521e74246fa8f8a60fec5aa5c578f1f5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92,0,0,0,28,0,0,0,0
